Time Setpoint Input Output
1168 100.00 103.00 0.00
1169 100.00 103.00 0.00
1170 100.00 102.50 0.00
1171 100.00 102.50 0.00
1172 100.00 102.50 0.00
1173 100.00 102.75 0.00
1174 100.00 102.50 0.00
1175 100.00 102.50 0.00
1176 100.00 102.50 0.00
1177 100.00 102.50 0.00
1178 100.00 102.50 0.00
1179 100.00 102.25 0.00
1180 100.00 102.00 0.00
1181 100.00 102.00 0.00
1182 100.00 101.75 0.00
1183 100.00 101.50 0.00
1184 100.00 101.25 0.00
1185 100.00 101.00 0.00
1186 100.00 101.25 0.00
1187 100.00 101.00 0.00
1188 100.00 101.00 0.00
1189 100.00 100.75 0.00
1190 100.00 100.75 0.00
1191 100.00 100.50 0.00
1192 100.00 100.50 0.00
1193 100.00 100.25 0.00
1194 100.00 100.00 12.50

